Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1985","1985","tonnes","37071","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1986","1986","tonnes","39425","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1987","1987","tonnes","72815","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1988","1988","tonnes","64751","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1989","1989","tonnes","60156","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1990","1990","tonnes","60076","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1991","1991","tonnes","51429","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1992","1992","tonnes","64552","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1993","1993","tonnes","68472","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1994","1994","tonnes","69860","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1995","1995","tonnes","78165","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1996","1996","tonnes","79282","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1997","1997","tonnes","78876","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1998","1998","tonnes","75668","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","1999","1999","tonnes","60000","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2000","2000","tonnes","65369","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2001","2001","tonnes","71655","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2002","2002","tonnes","75524","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2003","2003","tonnes","74355","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2004","2004","tonnes","71894","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2005","2005","tonnes","73626","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2006","2006","tonnes","71009","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2007","2007","tonnes","66250","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2008","2008","tonnes","52208","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2009","2009","tonnes","57167","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2010","2010","tonnes","61007","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2011","2011","tonnes","58196","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2012","2012","tonnes","59612","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2013","2013","tonnes","59023","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2014","2014","tonnes","31698","Im","FAO data based on imputation methodology"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2015","2015","tonnes","27372","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2016","2016","tonnes","25844","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2017","2017","tonnes","23850","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","399","Eggplants (aubergines)","2018","2018","tonnes","25384","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1961","1961","tonnes","5800","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1962","1962","tonnes","6100","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1963","1963","tonnes","6400","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1964","1964","tonnes","6650","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1965","1965","tonnes","6950","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1966","1966","tonnes","7250","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1967","1967","tonnes","7500","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1968","1968","tonnes","7600","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1969","1969","tonnes","7650","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1970","1970","tonnes","7700","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1971","1971","tonnes","7800","F","FAO estimate"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1972","1972","tonnes","7953","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1973","1973","tonnes","13904","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1974","1974","tonnes","18932","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1975","1975","tonnes","19516","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1976","1976","tonnes","20597","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1977","1977","tonnes","25436","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1978","1978","tonnes","28867","","Official data"
